epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,67.8916,0.38529,0.69167,1,0.82602,0.000469982,0.000469982,0.000469982
2,134.855,0.04542,0.60833,1,1.66333,0.000927579,0.000927579,0.000927579
3,198.773,0.04768,0.55,1,2.32867,0.00136631,0.00136631,0.00136631
4,263.211,0.0923,0.66667,1,1.08829,0.00134412,0.00134412,0.00134412
5,329.489,0.05172,0.63333,1,1.60902,0.00131582,0.00131582,0.00131582
6,394.155,0.04579,0.64167,1,1.65637,0.00128753,0.00128753,0.00128753
7,459.611,0.05845,0.55,1,1.81805,0.00125923,0.00125923,0.00125923
8,523.173,0.03371,0.80833,1,0.67774,0.00123094,0.00123094,0.00123094
9,587.843,0.02903,0.48333,1,3.70194,0.00120265,0.00120265,0.00120265
10,652.967,0.01595,0.79167,1,0.73331,0.00117435,0.00117435,0.00117435
11,721.93,0.02422,0.53333,1,2.25984,0.00114606,0.00114606,0.00114606
12,785.891,0.0161,0.71667,1,1.03644,0.00111776,0.00111776,0.00111776
13,850.421,0.00994,0.675,1,1.29927,0.00108947,0.00108947,0.00108947
14,915.762,0.02962,0.70833,1,0.96906,0.00106118,0.00106118,0.00106118
15,982.111,0.04114,0.575,1,1.35402,0.00103288,0.00103288,0.00103288
16,1048.15,0.03506,0.7,1,1.04271,0.00100459,0.00100459,0.00100459
17,1113.45,0.01845,0.63333,1,1.34388,0.000976293,0.000976293,0.000976293
18,1178.38,0.00688,0.66667,1,1.37132,0.000947999,0.000947999,0.000947999
19,1243.14,0.00977,0.69167,1,1.24191,0.000919704,0.000919704,0.000919704
20,1307.87,0.00664,0.66667,1,1.52764,0.00089141,0.00089141,0.00089141
21,1372.89,0.0067,0.61667,1,1.67005,0.000863116,0.000863116,0.000863116
22,1437.83,0.00336,0.675,1,1.52236,0.000834822,0.000834822,0.000834822
23,1502.99,0.00315,0.66667,1,1.70577,0.000806528,0.000806528,0.000806528
24,1569.59,0.00338,0.675,1,1.75105,0.000778233,0.000778233,0.000778233
25,1635.11,0.004,0.55833,1,3.28533,0.000749939,0.000749939,0.000749939
26,1695.16,0.00975,0.55,1,2.51851,0.000721645,0.000721645,0.000721645
27,1754.56,0.00718,0.525,1,3.18597,0.000693351,0.000693351,0.000693351
28,1813.49,0.01455,0.66667,1,1.44842,0.000665057,0.000665057,0.000665057
29,1872.55,0.00521,0.7,1,1.49848,0.000636762,0.000636762,0.000636762
30,1931.44,0.00313,0.625,1,1.83812,0.000608468,0.000608468,0.000608468
31,1991.34,0.00347,0.625,1,2.16565,0.000580174,0.000580174,0.000580174
32,2050.4,0.00545,0.65,1,1.68392,0.00055188,0.00055188,0.00055188
33,2109.82,0.00518,0.61667,1,2.12524,0.000523586,0.000523586,0.000523586
34,2168.98,0.00421,0.54167,1,3.72089,0.000495291,0.000495291,0.000495291
35,2228.22,0.00367,0.59167,1,2.01389,0.000466997,0.000466997,0.000466997
36,2287.52,0.00638,0.64167,1,1.76568,0.000438703,0.000438703,0.000438703
37,2346.44,0.01465,0.54167,1,2.81479,0.000410409,0.000410409,0.000410409
38,2405.98,0.01258,0.63333,1,2.223,0.000382115,0.000382115,0.000382115
39,2464.62,0.007,0.63333,1,1.7353,0.00035382,0.00035382,0.00035382
40,2523.79,0.00152,0.63333,1,1.83286,0.000325526,0.000325526,0.000325526
41,2583.94,0.00356,0.63333,1,1.81933,0.000297232,0.000297232,0.000297232
42,2643.23,0.00214,0.65,1,1.68552,0.000268938,0.000268938,0.000268938
43,2701.97,0.00139,0.625,1,1.86425,0.000240644,0.000240644,0.000240644
44,2761.57,0.00206,0.64167,1,1.86117,0.000212349,0.000212349,0.000212349
45,2820.82,0.002,0.625,1,2.03771,0.000184055,0.000184055,0.000184055
46,2880.1,0.0036,0.64167,1,1.7582,0.000155761,0.000155761,0.000155761
47,2940.41,0.00128,0.64167,1,1.82008,0.000127467,0.000127467,0.000127467
48,3000.37,0.00061,0.64167,1,1.8813,9.91726e-05,9.91726e-05,9.91726e-05
49,3059.38,0.00103,0.64167,1,1.84753,7.08784e-05,7.08784e-05,7.08784e-05
50,3118.47,0.00114,0.63333,1,1.78674,4.25842e-05,4.25842e-05,4.25842e-05
